61aa52478ae8ee306d5dcf52,5GRCWGJ8+M9,72a73f5a87f63ee22abfcf7899d21fca,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,L.T.Desta,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,28.51594667,-13.06836667,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr056181
61aa52478ae8ee306d5dd04d,5GPQ28GV+82,9677b21e1ffa898ed2c51200d68bf405,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,L.T.Desta,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,35.34251833,-15.97414833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr014904
61aa52478ae8ee306d5dd060,6CRWPMMV+4W,5b2f81fdfd77e09d4eb73172ac3a6883,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerom Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-1.305245,6.73277333,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr015473
61aa52478ae8ee306d5dd06e,6CRWPPRM+36,7f0094d864288605996a39650dce5496,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerom Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-1.266893333,6.74021833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr015632
61aa52478ae8ee306d5dd072,6CRWMQR5+R9,56df383b4ca5467e2d13791eee9b4f91,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerom Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-1.241593333,6.69200167,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr015672
61aa52478ae8ee306d5dd08f,6CQXC7MC+VC,5a7e73f59c788233ea245d6631182f3b,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-0.728883333,5.434675,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr015973
61aa52478ae8ee306d5dd0a4,6G3VX7GR+FW,db60689e3f4724d2f7a79299f6f23c5e,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Leigh Winoweicki,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,37.29229736,-8.02381229,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr020971
61aa52478ae8ee306d5dd0e3,5GQX7VXM+9F,9fbe3ee24d16ca945caf023d341a7909,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Dr L.T.Desta,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,39.88362667,-14.701545,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr023633
61aa52478ae8ee306d5dd0ef,6G5P35CC+JX,20b3454e2ad0e95e019d0782b7ac39da,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,34.1724205,-6.92843294,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr024868
61aa52478ae8ee306d5dd0f2,6G5P452H+RV,8c9bb96390e0b1621e4e822d2f48622a,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,34.17971039,-6.89794493,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr024880
61aa52478ae8ee306d5dd11c,6GWQH2HF+G2,f950dcddb937eb708eb81c6354c62b21,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,35.02257156,8.57880211,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr030184
61aa52478ae8ee306d5dd121,6GWQJ2RF+HM,39c0e4368af68be1b74222591fa03634,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,35.02413177,8.64140797,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr030238
61aa52478ae8ee306d5dd135,7C2RVCHR+2G,95594a0a8f9d2ba3c6891982a32eb55c,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-3.558683333,10.87761667,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr011112
61aa52478ae8ee306d5dd139,7C2RWCHP+59,e36ae0bc81a44786a6608cbe00ff3cd2,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-3.564085,10.92799833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr011145
61aa52478ae8ee306d5dd141,7C2RWFR6+J4,a5de8ab30d3de49e779dc747a602c365,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-3.539666667,10.94154333,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr011241
61aa52478ae8ee306d5dd146,7C2RWFGQ+WF,7949d3e57dbf253d671c65456d59beed,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-3.511266667,10.92729667,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr011301
61aa52478ae8ee306d5dd14f,5GWP96M4+P2,1f376b63289d1db3873c08dc2199ba27,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,L.T.Desta,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,34.20503833,-11.61566833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr014449
61aa52478ae8ee306d5dd172,6HX4HM9R+6X,dfe833e293261763d2198bb29f55dcbf,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vargen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,42.69237518,9.56801796,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr030387
61aa52478ae8ee306d5dd176,6HX4JM9V+CP,369e7b50bdb824b9983f4255f0de6d4a,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vargen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,42.69437027,9.61859798,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr030416
61aa52478ae8ee306d5dd181,6HX4HP8J+GP,9605e1175b3018749a5151e0c1a9a0d7,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Vargen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,42.73178101,9.56637478,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr030511
61aa52478ae8ee306d5dd1a3,6G6VMGR7+H2,26371b8897aa21a7b0e896a016f8d9f8,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Gunnar Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,37.51255035,-5.30851889,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr008028
61aa52478ae8ee306d5dd1f6,6FVF28W3+CV,f63d9c073f558344dc19dd1fe9255693,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,9.304748333,7.04608833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr034323
61aa52478ae8ee306d5dd208,6FRFX9MG+CC,f5c87f84efd85dd7867540c3e202bfee,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,9.376038333,6.98352667,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr034502
61aa52478ae8ee306d5dd22f,7G3X7HJG+GW,c3151c6658fb3490a5220620515957ec,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Leigh Wenoicki,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,39.5773468,11.28125763,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr038119
61aa52478ae8ee306d5dd254,5G4GC2PR+J8,2eef74de54a5dde1ee26be6b70bf0050,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,George Van Zijl,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,30.0408,-27.5634,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr048549
61aa52478ae8ee306d5dd26a,5G243P26+GJ,2193f55a50c722a5f6359a89ebfe5727,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,George Van Zijl,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,22.7115,-29.9487,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr048992
61aa52478ae8ee306d5dd277,5G243Q86+C4,6d489b2ec926fd0b0f3a9d8c3f39b209,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,George Van Zijl,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,22.7603,-29.934,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr049099
61aa52478ae8ee306d5dd2b9,5GMWVWRQ+36,352defd3d58f61b1e95925eec83e47e4,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Lulseged Tamene,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,38.93812333,-16.10983333,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr050194
61aa52478ae8ee306d5dd2d2,6GGJF7RC+G7,9e795ed8e15d8ad0205bb2ce2f930f0b,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS, Leigh Winowiecki ,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,32.27067566,0.49136299,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr054165
61aa52478ae8ee306d5dd2de,6GGJH77V+Q8,421f5627a75f0d0b3827e6b03207cf88,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS, Leigh Winowiecki ,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,32.29327011,0.56445801,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr054293
